instance,algorithm,valid,old_cost,new_cost,delta,delta_pct,old_vehicles,new_vehicles,old_vehicle_days,new_vehicle_days,old_distance,new_distance,old_tool_use,new_tool_use,reference_path,candidate_path,runtime_seconds
challenge_r300d20_4,Baseline,True,,18048923020.0,,,,44.0,,600.0,,4591020.0,,76 62,c:\Users\evers\VScode projects\CombinatorialOptimization\CombinatorialOptimization\results new\challenge_r300d20_4\optimal_solution\challenge_r300d20_4_optimal.txt,c:\Users\evers\VScode projects\CombinatorialOptimization\CombinatorialOptimization\results new\challenge_r300d20_4\Baseline\challenge_r300d20_4_Baseline.txt,0.01701664924621582
challenge_r300d20_4,Simulated Annealing,True,18048923020.0,3482359965.0,-14566563055.0,-80.70599580295622,44.0,7.0,600.0,115.0,4591020.0,1638965.0,76 62,51 52,c:\Users\evers\VScode projects\CombinatorialOptimization\CombinatorialOptimization\results new\challenge_r300d20_4\optimal_solution\challenge_r300d20_4_optimal.txt,c:\Users\evers\VScode projects\CombinatorialOptimization\CombinatorialOptimization\results new\challenge_r300d20_4\Simulated Annealing\challenge_r300d20_4_Simulated Annealing.txt,412.2622780799866
