instance,algorithm,valid,old_cost,new_cost,delta,delta_pct,old_vehicles,new_vehicles,old_vehicle_days,new_vehicle_days,old_distance,new_distance,old_tool_use,new_tool_use,reference_path,candidate_path,runtime_seconds
B1,Baseline,True,,298741200046.0,,,,46.0,,400.0,,2961400.0,,82 48,c:\Users\Alec Evers\VS code projects\CombinatorialOptimization VU\CombinatorialOptimization\results new\B1\optimal_solution\B1_optimal.txt,c:\Users\Alec Evers\VS code projects\CombinatorialOptimization VU\CombinatorialOptimization\results new\B1\Baseline\B1_Baseline.txt,0.010188817977905273
B1,Simulated Annealing,True,298741200046.0,88584689006.0,-210156511040.0,-70.34734780727942,46.0,6.0,400.0,63.0,2961400.0,865845.0,82 48,63 37,c:\Users\Alec Evers\VS code projects\CombinatorialOptimization VU\CombinatorialOptimization\results new\B1\optimal_solution\B1_optimal.txt,c:\Users\Alec Evers\VS code projects\CombinatorialOptimization VU\CombinatorialOptimization\results new\B1\Simulated Annealing\B1_Simulated Annealing.txt,627.3167173862457
