instance,algorithm,valid,old_cost,new_cost,delta,delta_pct,old_vehicles,new_vehicles,old_vehicle_days,new_vehicle_days,old_distance,new_distance,old_tool_use,new_tool_use,reference_path,candidate_path,runtime_seconds
B3,Baseline,True,,6425272804.0,,,,126.0,,1000.0,,6872804.0,,114 130 112,c:\Users\Alec Evers\VS code projects\CombinatorialOptimization VU\CombinatorialOptimization\results new\B3\optimal_solution\B3_optimal.txt,c:\Users\Alec Evers\VS code projects\CombinatorialOptimization VU\CombinatorialOptimization\results new\B3\Baseline\B3_Baseline.txt,0.32279443740844727
B3,Simulated Annealing,True,6425272804.0,1401809657.0,-5023463147.0,-78.18287721375324,126.0,26.0,1000.0,186.0,6872804.0,3037657.0,114 130 112,98 108 94,c:\Users\Alec Evers\VS code projects\CombinatorialOptimization VU\CombinatorialOptimization\results new\B3\optimal_solution\B3_optimal.txt,c:\Users\Alec Evers\VS code projects\CombinatorialOptimization VU\CombinatorialOptimization\results new\B3\Simulated Annealing\B3_Simulated Annealing.txt,589.1553044319153
