instance,algorithm,valid,old_cost,new_cost,delta,delta_pct,old_vehicles,new_vehicles,old_vehicle_days,new_vehicle_days,old_distance,new_distance,old_tool_use,new_tool_use,reference_path,candidate_path,runtime_seconds
B3,Baseline,True,,6625272804.0,,,,130.0,,1000.0,,6872804.0,,114 130 112,c:\Users\Alec Evers\VS code projects\CombinatorialOptimization VU\CombinatorialOptimization\results\B3\optimal_solution\B3_optimal.txt,c:\Users\Alec Evers\VS code projects\CombinatorialOptimization VU\CombinatorialOptimization\results\B3\Baseline\B3_Baseline.txt,0.2893078327178955
B3,Simulated Annealing,True,6625272804.0,1351029100.0,-5274243704.0,-79.60794762769137,130.0,25.0,1000.0,188.0,6872804.0,3053100.0,114 130 112,97 108 93,c:\Users\Alec Evers\VS code projects\CombinatorialOptimization VU\CombinatorialOptimization\results\B3\optimal_solution\B3_optimal.txt,c:\Users\Alec Evers\VS code projects\CombinatorialOptimization VU\CombinatorialOptimization\results\B3\Simulated Annealing\B3_Simulated Annealing.txt,385.63242959976196
